// 圣经新译本 5000 most frequently used words
所多玛		53
奶		53
哥哥		53
另外		53
尊贵		53
听到		53
刚		53
卧		53
队		53
哀		53
有关		53
亲眼		53
未曾		53
宝石		53
公分		53
右		53
宏		53
言		53
徒		53
护卫		53
耶利米书		53
整个		52
匠		52
境界		52
建		52
艾		52
一半		52
屈		52
什么时候		52
离去		52
出卖		52
堆		52
转身		52
惊奇		52
拿起		52
份		52
传给		52
头发		52
瞎眼		52
老师		52
合		51
创世记		51
天地		51
小的		51
他杀		51
交战		51
自从		51
看不见		51
甘		51
得胜		51
波斯		51
宰		51
束		51
朱红		51
侍立		51
震动		51
随		51
丁		51
心灵		51
堡垒		51
惹		51
总督		51
写信		51
亲爱		51
犹太		51
人身		50
馨香		50
英勇		50
伸		50
世世代代		50
点		50
就算		50
断		50
报告		50
车		50
问安		50
改变		50
千夫		50
罚		50
来说		50
说谎		50
多少		50
结局		50
互相		50
藏		49
搭		49
呼召		49
清早		49
捆绑		49
胎		49
许		49
本来		49
队伍		49
香料		49
指定		49
一边		49
降临		49
节期		49
污		49
刺		49
溪		49
攻取		49
判		49
凡事		49
忧愁		49
敬		49
治好		49
以西结书		49
牧		48
零		48
微		48
长大		48
萨迦		48
妓女		48
监		48
挂		48
举		48
同胞		48
祈祷		48
竟然		48
熟		48
蓝色		48
紫色		48
公平		48
一定		48
搭救		48
成全		48
及		47
八十		47
十九		47
举目		47
服		47
底下		47
挖		47
少女		47
腹		47
消息		47
唱		47
锅		47
登记		47
枪		47
辱骂		47
爱心		47
探		47
人心		47
省长		47
传扬		47
光明		47
无知		47
劳苦		46
败坏		46
蒙恩		46
透		46
顶		46
全部		46
泉		46
生长		46
但愿		46
益处		46
嫉妒		46
即使		46
棚		46
在其中		46
回家		46
腿		46
乐意		46
不但		46
雨		46
这边		46
患		46
息		46
饥饿		46
玛雅		46
万有		46
司		46
眼目		45
牧养		45
渐渐		45
退		45
继续		45
宗族		45
祖宗		45
纷争		45
看来		45
盐		45
阵		45
平平		45
给以		45
下拜		45
肥		45
悉		45
人为		45
觉得		45
掠		45
报复		45
强盛		45
传讲		45
西奈		45
鹰		45
孤儿		45
张		45
每逢		45
转向		45
存在		45
撒种		45
唯有		45
反对		45
夺取		45
界		45
野兽		44
海里		44
外面		44
东面		44
只管		44
气		44
使用		44
配		44
对付		44
斥责		44
吞吃		44
蜜		44
每天		44
收取		44
展开		44
碎		44
敌		44
抢夺		44
柏		44
吐		44
枝		44
埋伏		44
语		43
半个		43
姊妹		43
昼夜		43
拿来		43
关		43
惊恐		43
出现		43
德		43
起程		43
钱		43
山谷		43
捆		43
解释		43
卷		43
饶恕		43
重担		43
首		43
缺乏		43
医		43
虚假		43
威严		43
幕		43
散		43
永不		43
战场		43
人人		43
对象		43
奥秘		43
箴言		43
撒迦利亚		43
约伯记		43
要得		42
起初		42
公寸		42
盖		42
同样		42
灾		42
急忙		42
伤害		42
可畏		42
巴录		42
天天		42
花		42
压		42
火焰		42
捉住		42
倾倒		42
显出		42
小孩子		42
奸淫		42
凿		42
牌		42
总要		42
南方		42
遭受		42
轮子		42
神殿		42
有些人		42
施洗		42
牧师		42
万物		41
呼唤		41
生产		41
管辖		41
亭		41
北面		41
星		41
看顾		41
倾覆		41
试验		41
柴		41
投靠		41
嘴		41
狮		41
出埃及记		41
男女		41
穿着		41
飞		41
邪		41
办理		41
无辜		41
有时		41
杠		41
供职		41
恩赐		41
动		41
好处		41
忠心		41
哭泣		41
杀戮		41
庙		41
伸冤		41
慕		41
耶弗他		41
江河		41
行善		41
深		40
时间		40
有了		40
怀孕		40
方舟		40
鹿		40
牛羊		40
屋		40
眷顾		40
海边		40
把手		40
久		40
陷		40
尊敬		40
苦难		40
激动		40
灰		40
冰雹		40
蝗虫		40
灾难		40
兵器		40
外袍		40
说出		40
掩		40
吹号		40
夸耀		40
忠		40
远方		40
哀求		40
窥探		40
废		40
法度		40
坚定		40
意念		40
破坏		40
不敬		40
王后		40
希腊		40
信仰		39
树林		39
逐		39
气息		39
炉		39
手下		39
找不到		39
望		39
亨通		39
生活		39
葬		39
文		39
坐下		39
大有		39
场		39
达到		39
更加		39
永永远远		39
案件		39
几		39
受到		39
有权		39
既		39
计谋		39
不顾		39
矛		39
宣扬		39
封		39
邦		39
良人		39
天国		39
得以		38
礼		38
终		38
分开		38
记号		38
形象		38
腓		38
东边		38
增加		38
岂不		38
洪水		38
动物		38
实现		38
上前		38
厚		38
毛		38
嫁		38
见证人		38
讨		38
逃避		38
指派		38
同一		38
穗		38
想起		38
真实		38
亲手		38
马匹		38
池		38
恐惧		38
率领		38
纯金		38
板		38
愆		38
饱足		38
荫		38
沿着		38
劝勉		38
临近		38
民众		38
公里		38
群山		38
波阿斯		38
魔鬼		38
包		37
羞耻		37
引诱		37
生育		37
求告		37
战兢		37
希望		37
收回		37
剃		37
抱		37
拒绝		37
申		37
职分		37
痊愈		37
三分之一		37
肢体		37
民数记		37
打仗		37
有力		37
坚强		37
古时		37
默示		37
顺服		37
历代志下		37
荒废		37
供		36
活人		36
安置		36
取出		36
饭		36
泉源		36
叶		36
应得		36
烟		36
全身		36
朔		36
事情		36
听说		36
财宝		36
普		36
阴谋		36
袍		36
嘱咐		36
投		36
留意		36
大麦		36
狗		36
咒骂		36
脚下		36
铸造		36
雕刻		36
绳子		36
现		36
到处		36
旧		36
根据		36
追求		36
乱		36
持守		36
库房		36
路得		36
太监		36
书记		36
种子		35
地面		35
九十		35
追		35
篾		35
方言		35
印		35
苏		35
举手		35
逃走		35
庇		35
赶快		35
洞		35
露		35
亲嘴		35
有能力		35
鉴		35
地区		35
商议		35
事务		35
木头		35
尚且		35
祸患		35
怒		35
撇下		35
赎回		35
棕树		35
独自		35
国民		35
诲		35
形状		35
幅		35
奇妙		35
全都		35
揭露		35
安然		35
穷		35
高大		35
战利品		35
增添		35
申命记		35
叩拜		35
丧		35
身穿		35
集合		35
站起来		35
骑兵		35
炼		35
年代		35
班次		35
守门		35
大雅		35
复兴		35
讲道		35
教		34
山顶		34
黄昏		34
拦		34
清楚		34
确实		34
年老		34
何况		34
第二次		34
瓶		34
肩		34
从来没有		34
雇		34
小心		34
渴		34
杜		34
趁		34
家人		34
接着		34
术		34
打开		34
烈		34
变		34
明		34
本人		34
辆		34
满足		34
带领		34
吃饱		34
争论		34
物件		34
不理		34
木板		34
一面		34
指头		34
淫		34
病人		34
工人		34
林		34
柏树		34
回归		34
沙龙		34
约坦		34
思想		34
银币		34
守望		34
守卫		34
信息		34
警醒		34
门廊		34
私欲		34
信徒		33
宝贵		33
长出		33
鸽子		33
喝酒		33
之前		33
橡树		33
严重		33
或者		33
男子		33
生下		33
追上		33
当地		33
拾		33
羊毛		33
负责		33
坦		33
孩童		33
壮		33
实行		33
办		33
够		33
甘心		33
禾场		33
痛哭		33
宫殿		33
为止		33
每年		33
战		33
铺		33
两样		33
宣布		33
不用		33
富足		33
权		33
西亚		33
弄		33
受审		33
干旱		33
迷惑		33
惊骇		33
传遍		33
拿俄米		33
大小		33
清洁		33
良心		33
供应		33
志		33
附		33
夸口		33
怜		33
加上		32
此外		32
歇		32
停		32
耕种		32
环绕		32
记录		32
黑夜		32
逝世		32
一百一		32
调和		32
各处		32
远远		32
足		32
疲乏		32
认		32
麦子		32
剪		32
欢欢喜喜		32
到底		32
所见		32
竖立		32
一部分		32
住处		32
月亮		32
恼怒		32
管家		32
骸骨		32
烧毁		32
举起		32
境		32
精		32
唉		32
时期		32
不论		32
失		32
同伴		32
名声		32
学习		32
宣读		32
放火		32
平静		32
关系		32
绝对		32
撒母耳记上		32
恤		32
肉身		32
虔		32
虚谎		32
腓力		32
深渊		31
亚当		31
红		31
躲避		31
才能		31
同行		31
由于		31
停止		31
人口		31
大臣		31
侍候		31
下手		31
益		31
商人		31
哪一个		31
住宿		31
跟前		31
旦		31
浇		31
谢拉		31
陷害		31
树枝		31
泥		31
捡		31
大事		31
密云		31
南边		31
腰带		31
超过		31
发作		31
扔		31
忽		31
首先		31
正是		31
各自		31
心思		31
婴孩		31
抵挡		31
疆界		31
乐器		31
税		31
辩论		31
拿撒勒		31
天下		30
管		30
生出		30
东方		30
一家		30
出生		30
果然		30
亮		30
不到		30
最好		30
迎		30
证明		30
不同		30
刮		30
计算		30
严厉		30
袋		30
总是		30
早已		30
相连		30
妇		30
叹息		30
禾		30
磨		30
偿还		30
锤		30
闩		30
隐		30
俗		30
装		30
流血		30
士兵		30
各国		30
长久		30
讲论		30
虽		30
没有什么		30
现今		30
也许		30
本国		30
煞		30
避难所		30
楼		30
西西		30
脚步		30
启示		30
隐密		30
救主		30
历代志上		30
令人		30
灵魂		30
日光		30
为的是		30
马太福音		30
凯撒		30
人类		29
重要		29
部分		29
备		29
类		29
仇		29
终日		29
橄榄树		29
系		29
返回		29
希伯来人		29
拿出		29
恢复		29
睡觉		29
什么地方		29
处女		29
一句话		29
死后		29
家谱		29
查		29
罕		29
乳香		29
芦苇		29
掌管		29
荒		29
圈		29
蔓延		29
压迫		29
懒惰		29
谎言		29
红海		29
触摸		29
全军		29
额		29
尊崇		29
怨言		29
民间		29
规例		29
庄稼		29
交出		29
罪过		29
议论		29
猪		29
净		29
偏		29
围绕		29
不致		29
冈		29
避难		29
广场		29
废墟		29
一句		29
这么		29
张开		29
友		29
公议		29
罗马		29
使徒行传		29
马其顿		29
重新		28
弹琴		28
七月		28
坍		28
头一		28
日落		28
该死		28
阻止		28
死去		28
善待		28
递		28
两边		28
抢掠		28
出发		28
房		28
篮子		28
席		28
名下		28
客		28
存留		28
停留		28
幽暗		28
光照		28
保障		28
洒		28
务		28
利未记		28
病症		28
休		28
享受		28
掳掠		28
开口		28
今		28
决定		28
陶		28
倒毙		28
先见		28
卫兵		28
四面		28
绳索		28
绊倒		28
效法		28
意义		28
训词		28
传道		28
提摩太		28
该隐		27
抬起		27
倍		27
含		27
保全		27
淹没		27
国土		27
宁		27
西边		27
热		27
动身		27
年轻		27
冲		27
城外		27
正义		27
套		27
许愿		27
邀请		27
当着		27
责		27
河边		27
醒		27
装满		27
占卜		27
左右		27
斤		27
平		27
荣		27
己		27
四境		27
诗歌		27
搬		27
准备		27
烈火		27
皂荚		27
绿		27
横		27
贴		27
上行		27
师		27
装饰		27
响		27
惊吓		27
免		27
咬		27
派遣		27
受辱		27
说明		27
归于		27
吼叫		27
基业		27
垒		27
矶		27
发声		27
弦		27
预先		27
刚强		27
哀歌		27
暂时		27
宣讲		27
彰显		27
得不到		27
忍受		27
大山		27
为主		27
属灵		27
发光		26
幼发拉底河		26
不好		26
制伏		26
青年人		26
窗户		26
必然		26
托		26
往前		26
切		26
略		26
妾		26
一定要		26
强大		26
请求		26
高兴		26
养		26
摆设		26
扶		26
王子		26
千万		26
猎物		26
看出		26
大河		26
暗中		26
一下		26
胜		26
再次		26
空		26
嗤笑		26
囚		26
解		26
样子		26
愁苦		26
货物		26
知道了		26
锁		26
掠夺		26
专心		26
责打		26
河水		26
定例		26
绑		26
接近		26
跳舞		26
四方		26
调		26
感恩		26
瞎子		26
禧		26
四散		26
二百五		26
幼		26
丰富		26
一心		26
蒙召		26
城楼		26
指摘		26
动摇		26
响声		26
列王纪下		26
信靠		26
所罗巴伯		26
权能		26
指望		26
执政		26
谕旨		26
海岛		26
道理		26
耀		26
荣美		26
海洋		25
流出		25
绝不		25
犹		25
闪		25
随意		25
找不着		25
外衣		25
帖		25
