word,count,type,freq,ln(freq),hsk
一样的想法,2,token,,,
还是有,2,token,,,
有很多人,2,token,,,
和他,2,token,,,
是不同意,2,token,,,
不同意,5,token,,,
不同意屈,2,token,,,
原的,14,token,,,
原的主张,3,token,,,
的主张,6,token,,,
屈原的,12,token,,,
屈原的主张,2,token,,,
的主张是,4,token,,,
我们可以说,4,token,,,
对一个,2,token,,,
就是你的想法,2,token,,,
是你的,3,token,,,
你的想法,4,token,,,
你的想法是一样的,3,token,,,
同意你的看法,2,token,,,
你的看法,4,token,,,
我反对你的,2,token,,,
说我,8,token,,,
和你的想法是一样的,2,token,,,
楚国呀,2,token,,,
人是,4,token,,,
他们反对,2,token,,,
反对屈原的,2,token,,,
就是想,2,token,,,
是想,4,token,,,
像我,2,token,,,
可以说我的主张是,2,token,,,
我的主张是,3,token,,,
像是,2,token,,,
是比,2,token,,,
个国家的,2,token,,,
我觉得我,2,token,,,
我们国家,2,token,,,
应该和那,2,token,,,
是我们,4,token,,,
这些人,3,token,,,
在楚王面前,2,token,,,
前说,2,token,,,
说屈原的坏话,2,token,,,
的坏话,4,token,,,
说他是,4,token,,,
说他是个不可信任的人,3,token,,,
个不可信任的,4,token,,,
不可信任,5,token,,,
所以这些,2,token,,,
说谁,2,token,,,
谁的坏话,2,token,,,
所以他们,3,token,,,
所以他们说,2,token,,,
不可以相信,2,token,,,
你不要相信,2,token,,,
不是一个,2,token,,,
的爱,2,token,,,
信任就是,2,token,,,
是相信,2,token,,,
他们把屈原当作,2,token,,,
把屈原,4,token,,,
把一,3,token,,,
把一个,2,token,,,
那个人,3,token,,,
你非常,2,token,,,
不喜欢,4,token,,,
不想看到他,2,token,,,
到他,3,token,,,
开你的,2,token,,,
开始相信,2,token,,,
人说的话,2,token,,,
把屈原流放了,2,token,,,
他就不,2,token,,,
到一个,3,token,,,
很远,2,token,,,
被流放,6,token,,,
被流放的,5,token,,,
流放的,6,token,,,
流放的时候,2,token,,,
在被流放的,4,token,,,
在被流放的期间,3,token,,,
的期间,5,token,,,
写下了,4,token,,,
写下了许多,3,token,,,
写下了许多动人的诗篇,2,token,,,
多动人的诗篇,3,token,,,
动人的,4,token,,,
的诗,6,token,,,
屈原写下了,3,token,,,
屈原写下了许多,2,token,,,
了一,2,token,,,
在什么什么,2,token,,,
什么什么,3,token,,,
一个东西,3,token,,,
常用的,2,token,,,
比如说我,4,token,,,
二零一,2,token,,,
零一,3,token,,,
五年,3,token,,,
这五年,2,token,,,
在英国,2,token,,,
比如说我在,2,token,,,
认识了,2,token,,,
个中国人都知道,2,token,,,
人都知道,3,token,,,
知道这,3,token,,,
知道吧,2,token,,,
人知道,2,token,,,
学过,2,token,,,
秦始皇占领了,3,token,,,
占领了,5,token,,,
了自己,2,token,,,
占领了楚国,2,token,,,
了楚国,3,token,,,
了你,2,token,,,
说这不是,2,token,,,
这是我,2,token,,,
我用你的,2,token,,,
因为他,4,token,,,
把自己绑在,2,token,,,
绑在,3,token,,,
一块,2,token,,,
石头上,3,token,,,
沉入了汨罗江中,2,token,,,
了汨罗江,4,token,,,
把你,2,token,,,
把这个,3,token,,,
人不,2,token,,,
自杀了,2,token,,,
是在水,2,token,,,
汨罗江的,2,token,,,
他投江自杀,2,token,,,
投江自杀,5,token,,,
楚国的百姓们,3,token,,,
国的百姓,4,token,,,
们知道,2,token,,,
知道这个,2,token,,,
消息之后,2,token,,,
尊敬屈原,3,token,,,
十分尊敬屈原,2,token,,,
事情是,2,token,,,
是想让,2,token,,,
投江自杀的,2,token,,,
大家纷纷,7,token,,,
赶到汨罗江边,5,token,,,
汨罗江边,6,token,,,
一边划船,6,token,,,
一边划船一边敲鼓,4,token,,,
一边敲,5,token,,,
试图赶走鱼群,3,token,,,
听到了,2,token,,,
楚国的人,2,token,,,
到屈原,2,token,,,
大家纷纷赶到汨罗江边,4,token,,,
的人去,2,token,,,
人去,7,token,,,
是有人先去,2,token,,,
有人后去,2,token,,,
有人去,5,token,,,
一直都有人去,2,token,,,
课了,2,token,,,
纷纷离开了,2,token,,,
有的人是九点,3,token,,,
离开的,3,token,,,
有的人是九点零,2,token,,,
做什么呢,2,token,,,
们一,3,token,,,
一件事是,2,token,,,
是敲,2,token,,,
他的尸体,2,token,,,
的尸,5,token,,,
河里,8,token,,,
鱼和虾,3,token,,,
要吃,2,token,,,
那些鱼和虾,2,token,,,
些鱼,3,token,,,
吃屈原的身体,2,token,,,
坐在船上,2,token,,,
将一包包糯米,2,token,,,
一包包糯米,3,token,,,
一包包糯米做成的粽子,2,token,,,
包包糯米做成的粽子扔,2,token,,,
包糯米做成的粽子扔进,2,token,,,
糯米做,7,token,,,
糯米做成的粽子扔进河,2,token,,,
米做,9,token,,,
米做成的粽子扔进河里,2,token,,,
粽子扔进河,3,token,,,
希望鱼,4,token,,,
希望鱼儿们吃,3,token,,,
粽子而让屈原的尸骨得,2,token,,,
子而让屈原的尸骨得到,2,token,,,
而让屈原的,3,token,,,
而让屈原的尸骨得到安,2,token,,,
让屈原的,4,token,,,
让屈原的尸骨得到安息,3,token,,,
他们扔,3,token,,,
他们扔了,2,token,,,
什么东西,2,token,,,
糯米做的,5,token,,,
米做的,7,token,,,
什么是糯米,2,token,,,
是糯米,5,token,,,
那什么,2,token,,,
很黏,2,token,,,
是糯米做的,3,token,,,
们要,2,token,,,
也是糯米做的,2,token,,,
是汤圆,3,token,,,
是吃,2,token,,,
也是黏米做的,2,token,,,
这个将,2,token,,,
他们希望鱼,3,token,,,
他们希望鱼儿们吃粽子,2,token,,,
没有人去,2,token,,,
死者安息,2,token,,,
者安息,3,token,,,
生者坚强,2,token,,,
百姓们一直记着,2,token,,,
沉入汨罗江,2,token,,,
在举行龙舟比赛的同时,2,token,,,
